================================================================================
COVER SHEET
================================================================================
Title,Source to Target Mapping – DIM_CUSTOMER
Project Name,EDW Phase 1
Document Creator,AC235328-SF@AIRCANADA.CA
Version,1.0
Date,2026-06-17

================================================================================
VERSION CONTROL
================================================================================
Version,Revision Date,Revision Author,Project,Subject,Revision Notes,Approved By,Approved Date
1.0,2026-06-17,AC235328-SF@AIRCANADA.CA,EDW Phase 1,Source to Target Mapping – DIM_CUSTOMER,Initial version,,

================================================================================
DATA DICTIONARY
================================================================================
Attribute Name,Table Name,Description
DIM_CUSTOMER_KEY,DIM_CUSTOMER,Surrogate primary key for the customer dimension
CUSTOMER_NUMBER,DIM_CUSTOMER,Unique business identifier for the customer
NAME_CUSTOMER,DIM_CUSTOMER,Full name of the customer
IDENTIFICATION_LEGACY_NUMBER,DIM_CUSTOMER,Legacy system identifier for the customer
COUNTRY,DIM_CUSTOMER,ISO country code of the customer
TAX_NUMBER,DIM_CUSTOMER,Tax identification number of the customer
TAX_CATEGORY,DIM_CUSTOMER,Tax category classification code
LATEARRIVINGFLAG,DIM_CUSTOMER,Indicates whether the record arrived late to the warehouse (Y/N)
CURRENTFLAG,DIM_CUSTOMER,Indicates whether this is the current active version of the record (Y/N)
DELETEDFLAG,DIM_CUSTOMER,Soft delete flag indicating if the record has been logically deleted (Y/N)
SCDSTARTDATETIME,DIM_CUSTOMER,SCD effective start date and time for this version of the record
SCDENDDATETIME,DIM_CUSTOMER,SCD effective end date and time. NULL if this is the current record
TYPE1HASH,DIM_CUSTOMER,Hash computed over all Type 1 columns for change detection
TYPE2HASH,DIM_CUSTOMER,Hash computed over all Type 2 columns for change detection
CREATEDBATCHLOGID,DIM_CUSTOMER,Batch log ID of the ETL run that inserted this record
UPDATEDBATCHLOGID,DIM_CUSTOMER,Batch log ID of the most recent ETL run that updated this record
UPDATETYPE,DIM_CUSTOMER,Last DML operation applied to this record: INSERT UPDATE or DELETE

================================================================================
STTM
================================================================================
TARGET_TYPE,TARGET_TABLE_NAME,PHYSICAL_ORDER,TARGET_COLUMN_NAME,TARGET_DATA_TYPE,TARGET_PRECISION,TARGET_COLUMN_DESCRIPTION,KEY_TYPE,TARGET_NULLABLE,DATA_SENSITIVITY,PII_FLAG,PII_TYPE,TYPE_OF_DE_IDENTIFICATION_MECHANISM,TRANSFORMATION_LOGIC,SOURCE_TABLE_NAME,SOURCE_COLUMN_NAME,NOTES
Not Applicable,DIM_CUSTOMER,1,DIM_CUSTOMER_KEY,BIGINT,,Surrogate primary key for the customer dimension,PK,No,Internal Data,No,,,AUTOINCREMENT,,,
Type 1,DIM_CUSTOMER,2,CUSTOMER_NUMBER,VARCHAR(100),,Unique business identifier for the customer,AK,No,Internal Data,No,,,Direct Mapping,DIM_CUSTOMER_MASTER,CUSTOMER_NUMBER,
Type 1,DIM_CUSTOMER,3,NAME_CUSTOMER,VARCHAR(500),,Full name of the customer,,No,Confidential Data,Yes,Full Name,Masking,Direct Mapping,DIM_CUSTOMER_MASTER,NAME_CUSTOMER,
Type 1,DIM_CUSTOMER,4,IDENTIFICATION_LEGACY_NUMBER,VARCHAR(100),,Legacy system identifier for the customer,,Yes,Internal Data,No,,,Direct Mapping,DIM_CUSTOMER_MASTER,IDENTIFICATION_LEGACY_NUMBER,
Type 1,DIM_CUSTOMER,5,COUNTRY,VARCHAR(3),,ISO country code of the customer,,Yes,Internal Data,No,,,Direct Mapping,DIM_CUSTOMER_MASTER,COUNTRY,
Type 1,DIM_CUSTOMER,6,TAX_NUMBER,VARCHAR(20),,Tax identification number of the customer,,Yes,Restricted Data,Yes,Tax ID,Masking,Direct Mapping,DIM_CUSTOMER_MASTER,TAX_NUMBER,
Type 1,DIM_CUSTOMER,7,TAX_CATEGORY,VARCHAR(4),,Tax category classification code,,Yes,Internal Data,No,,,Direct Mapping,DIM_CUSTOMER_MASTER,TAX_CATEGORY,
Technical Field,DIM_CUSTOMER,8,LATEARRIVINGFLAG,CHAR(1),,Indicates whether the record arrived late to the warehouse (Y/N),,No,Internal Data,No,,,NA,,,
Technical Field,DIM_CUSTOMER,9,CURRENTFLAG,CHAR(1),,Indicates whether this is the current active version of the record (Y/N),,No,Internal Data,No,,,1,,,
Technical Field,DIM_CUSTOMER,10,DELETEDFLAG,CHAR(1),,Soft delete flag indicating if the record has been logically deleted (Y/N),,No,Internal Data,No,,,0,,,
Type 2,DIM_CUSTOMER,11,SCDSTARTDATETIME,TIMESTAMP,,SCD effective start date and time for this version of the record,,No,Internal Data,No,,,CURRENT_TIMESTAMP(),,,
Type 2,DIM_CUSTOMER,12,SCDENDDATETIME,TIMESTAMP,,SCD effective end date and time. NULL if this is the current record,,Yes,Internal Data,No,,,NULL,,,
Technical Field,DIM_CUSTOMER,13,TYPE1HASH,VARCHAR(64),,Hash computed over all Type 1 columns for change detection,,No,Internal Data,No,,,"SHA2(CONCAT_WS('|',CUSTOMER_NUMBER,NAME_CUSTOMER,IDENTIFICATION_LEGACY_NUMBER,COUNTRY,TAX_NUMBER,TAX_CATEGORY))",,,
Technical Field,DIM_CUSTOMER,14,TYPE2HASH,VARCHAR(64),,Hash computed over all Type 2 columns for change detection,,Yes,Internal Data,No,,,NA,,,No Type 2 business columns
Technical Field,DIM_CUSTOMER,15,CREATEDBATCHLOGID,BIGINT,,Batch log ID of the ETL run that inserted this record,,No,Internal Data,No,,,ETL_BATCH_LOG_ID,,,
Technical Field,DIM_CUSTOMER,16,UPDATEDBATCHLOGID,BIGINT,,Batch log ID of the most recent ETL run that updated this record,,Yes,Internal Data,No,,,ETL_BATCH_LOG_ID,,,
Technical Field,DIM_CUSTOMER,17,UPDATETYPE,VARCHAR(10),,Last DML operation applied to this record: INSERT UPDATE or DELETE,,No,Internal Data,No,,,'INSERT',,,
